"ENTIDAD","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
1,"15/02/2020",7,6,6,-14,4,-2
1,"16/02/2020",9,7,5,1,1,-1
1,"17/02/2020",1,2,0,-5,12,-2
1,"18/02/2020",0,-3,3,-4,10,-2
1,"19/02/2020",-1,-2,-2,-2,9,-1
1,"20/02/2020",-1,-2,2,0,9,-2
1,"21/02/2020",-2,-1,1,-8,11,-2
1,"22/02/2020",0,1,4,-16,4,-1
1,"23/02/2020",0,1,3,-6,0,-1
1,"24/02/2020",-4,-3,-2,-4,13,-2
1,"25/02/2020",-4,-6,-1,-7,10,-2
1,"26/02/2020",-7,-5,1,-4,10,-1
1,"27/02/2020",0,0,9,0,10,-2
1,"28/02/2020",1,9,20,-7,10,-2
1,"29/02/2020",10,13,39,-12,6,-2
1,"01/03/2020",9,10,18,-2,2,-2
1,"02/03/2020",0,5,1,-7,13,-2
1,"03/03/2020",-1,-1,-1,-11,10,-1
1,"04/03/2020",-1,1,-4,-6,10,-1
1,"05/03/2020",0,1,2,-5,10,-2
1,"06/03/2020",-5,0,-1,-10,13,-2
1,"07/03/2020",1,2,7,-18,6,-1
1,"08/03/2020",7,2,9,-10,3,-1
1,"09/03/2020",-12,-10,-11,-10,-13,6
1,"10/03/2020",-2,-2,2,-2,9,-2
1,"11/03/2020",-1,-1,-1,1,9,-1
1,"12/03/2020",1,2,6,3,8,-2
1,"13/03/2020",1,9,0,8,3,-1
1,"14/03/2020",4,13,7,-4,2,-2
1,"15/03/2020",-2,8,-3,-21,-1,-2
1,"16/03/2020",-13,5,-12,10,-61,15
1,"17/03/2020",-8,3,-6,1,-3,3
1,"18/03/2020",-17,2,-16,-14,-10,7
1,"19/03/2020",-24,1,-14,-21,-15,8
1,"20/03/2020",-34,-1,-20,-35,-16,11
1,"21/03/2020",-37,-5,-21,-42,-9,10
1,"22/03/2020",-46,-16,-28,-50,-15,9
1,"23/03/2020",-36,-16,-27,-42,-28,13
1,"24/03/2020",-39,-18,-29,-43,-33,15
1,"25/03/2020",-42,-18,-35,-48,-36,17
1,"26/03/2020",-42,-16,-31,-49,-38,18
1,"27/03/2020",-45,-12,-31,-55,-37,20
1,"28/03/2020",-43,-10,-28,-57,-21,14
1,"29/03/2020",-51,-19,-37,-62,-24,12
1,"30/03/2020",-40,-17,-34,-55,-41,18
1,"31/03/2020",-40,-18,-36,-53,-44,19
1,"01/04/2020",-43,-16,-38,-53,-46,21
1,"02/04/2020",-50,-12,-35,-55,-49,22
1,"03/04/2020",-60,-6,-35,-61,-47,24
1,"04/04/2020",-59,-6,-32,-61,-29,16
1,"05/04/2020",-66,-18,-40,-68,-29,14
1,"06/04/2020",-56,-12,-32,-60,-51,21
1,"07/04/2020",-55,-12,-30,-59,-53,22
1,"08/04/2020",-53,-4,-33,-54,-53,22
1,"09/04/2020",-62,-6,-35,-60,-66,25
1,"10/04/2020",-79,-27,-53,-77,-77,31
1,"11/04/2020",-66,-17,-38,-74,-49,19
1,"12/04/2020",-68,-23,-46,-70,-31,14
1,"13/04/2020",-55,-11,-33,-60,-48,21
1,"14/04/2020",-53,-10,-31,-61,-50,22
1,"15/04/2020",-51,-2,-32,-57,-50,22
1,"16/04/2020",-51,-6,-32,-60,-50,22
1,"17/04/2020",-54,-7,-32,-66,-47,24
1,"18/04/2020",-58,-17,-32,-67,-27,15
1,"19/04/2020",-64,-26,-42,-70,-24,13
1,"20/04/2020",-55,-22,-35,-63,-47,21
1,"21/04/2020",-57,-26,-41,-63,-50,22
1,"22/04/2020",-58,-25,-44,-65,-50,23
1,"23/04/2020",-59,-24,-41,-65,-50,23
1,"24/04/2020",-61,-22,-42,-70,-47,25
1,"25/04/2020",-60,-21,-39,-69,-29,16
1,"26/04/2020",-67,-30,-49,-74,-26,13
1,"27/04/2020",-57,-26,-41,-65,-48,22
1,"28/04/2020",-56,-24,-38,-64,-50,17
1,"29/04/2020",-54,-18,-40,-61,-49,23
1,"30/04/2020",-47,-5,-37,-57,-48,20
