"entidadFed","date","movilidad"
1,"04/05/2020",-0.4575
1,"05/05/2020",-0.4625
1,"06/05/2020",-0.455
1,"07/05/2020",-0.4475
1,"08/05/2020",-0.4625
1,"09/05/2020",-0.365
1,"10/05/2020",-0.3725
1,"11/05/2020",-0.4575
1,"12/05/2020",-0.45
1,"13/05/2020",-0.44
1,"14/05/2020",-0.4125
1,"15/05/2020",-0.4
1,"16/05/2020",-0.355
1,"17/05/2020",-0.3875
1,"18/05/2020",-0.41
1,"19/05/2020",-0.4175
1,"20/05/2020",-0.4075
1,"21/05/2020",-0.4075
1,"22/05/2020",-0.4075
1,"23/05/2020",-0.3475
1,"24/05/2020",-0.3675
1,"25/05/2020",-0.4
1,"26/05/2020",-0.395
1,"27/05/2020",-0.3975
1,"28/05/2020",-0.38
1,"29/05/2020",-0.35
1,"30/05/2020",-0.2925
1,"31/05/2020",-0.295
1,"01/06/2020",-0.33
1,"02/06/2020",-0.355
1,"03/06/2020",-0.345
1,"04/06/2020",-0.3425
1,"05/06/2020",-0.3425
1,"06/06/2020",-0.2875
1,"07/06/2020",-0.305
2,"15/02/2020",0.055
2,"16/02/2020",0.055
2,"17/02/2020",0.06
2,"18/02/2020",0.035
2,"19/02/2020",0.025
2,"20/02/2020",0.0175
2,"21/02/2020",0.05
2,"22/02/2020",-0.015
2,"23/02/2020",0.02
2,"24/02/2020",0.025
2,"25/02/2020",0.02
2,"26/02/2020",0.02
2,"27/02/2020",0.0325
2,"28/02/2020",0.0775
2,"29/02/2020",0.0575
2,"01/03/2020",0.01
2,"02/03/2020",-0.0075
2,"03/03/2020",0.0525
2,"04/03/2020",0.045
2,"05/03/2020",0.04
2,"06/03/2020",0.055
2,"07/03/2020",0.025
2,"08/03/2020",0.0275
2,"09/03/2020",-0.06
2,"10/03/2020",-0.09
2,"11/03/2020",0.04
2,"12/03/2020",0.0025
2,"13/03/2020",0.04
2,"14/03/2020",0.0125
2,"15/03/2020",-1.73472347597681e-18
2,"16/03/2020",-0.1775
2,"17/03/2020",0.035
2,"18/03/2020",-0.12
2,"19/03/2020",-0.1525
2,"20/03/2020",-0.15
2,"21/03/2020",-0.1975
2,"22/03/2020",-0.2525
2,"23/03/2020",-0.2575
2,"24/03/2020",-0.2775
2,"25/03/2020",-0.3075
2,"26/03/2020",-0.32
2,"27/03/2020",-0.3125
2,"28/03/2020",-0.31
2,"29/03/2020",-0.35
2,"30/03/2020",-0.2975
2,"31/03/2020",-0.3575
2,"01/04/2020",-0.355
2,"02/04/2020",-0.37
2,"03/04/2020",-0.3675
2,"04/04/2020",-0.3775
2,"05/04/2020",-0.415
2,"06/04/2020",-0.42
2,"07/04/2020",-0.455
2,"08/04/2020",-0.4475
2,"09/04/2020",-0.4725
2,"10/04/2020",-0.6325
2,"11/04/2020",-0.4975
2,"12/04/2020",-0.49
2,"13/04/2020",-0.4625
2,"14/04/2020",-0.4575
2,"15/04/2020",-0.45
2,"16/04/2020",-0.455
2,"17/04/2020",-0.4625
2,"18/04/2020",-0.475
2,"19/04/2020",-0.49
2,"20/04/2020",-0.4775
2,"21/04/2020",-0.5
2,"22/04/2020",-0.49
2,"23/04/2020",-0.4875
2,"24/04/2020",-0.4675
2,"25/04/2020",-0.4675
2,"26/04/2020",-0.48
2,"27/04/2020",-0.4675
2,"28/04/2020",-0.485
2,"29/04/2020",-0.4725
2,"30/04/2020",-0.4025
2,"01/05/2020",-0.5175
2,"02/05/2020",-0.45
2,"03/05/2020",-0.46
2,"04/05/2020",-0.4325
2,"05/05/2020",-0.4425
2,"06/05/2020",-0.435
2,"07/05/2020",-0.4225
2,"08/05/2020",-0.405
2,"09/05/2020",-0.375
2,"10/05/2020",-0.38
2,"11/05/2020",-0.4175
2,"12/05/2020",-0.415
2,"13/05/2020",-0.425
2,"14/05/2020",-0.415
2,"15/05/2020",-0.385
2,"16/05/2020",-0.3775
2,"17/05/2020",-0.395
2,"18/05/2020",-0.3925
2,"19/05/2020",-0.395
2,"20/05/2020",-0.3875
2,"21/05/2020",-0.385
2,"22/05/2020",-0.375
2,"23/05/2020",-0.355
2,"24/05/2020",-0.38
2,"25/05/2020",-0.375
2,"26/05/2020",-0.3875
2,"27/05/2020",-0.3975
2,"28/05/2020",-0.38
2,"29/05/2020",-0.3575
2,"30/05/2020",-0.3125
2,"31/05/2020",-0.34
2,"01/06/2020",-0.3275
2,"02/06/2020",-0.3325
2,"03/06/2020",-0.3375
2,"04/06/2020",-0.3325
2,"05/06/2020",-0.3175
2,"06/06/2020",-0.2875
2,"07/06/2020",-0.3075
3,"15/02/2020",0.065
3,"16/02/2020",0.05
3,"17/02/2020",0.06
3,"18/02/2020",0.0525
3,"19/02/2020",0.0525
3,"20/02/2020",0.06
3,"21/02/2020",0.065
3,"22/02/2020",0.06
3,"23/02/2020",0.055
3,"24/02/2020",0.05
3,"25/02/2020",0.065
3,"26/02/2020",0.045
3,"27/02/2020",0.04
3,"28/02/2020",0.0825
3,"29/02/2020",0.075
3,"01/03/2020",0.055
3,"02/03/2020",0.0575
3,"03/03/2020",0.055
3,"04/03/2020",0.045
3,"05/03/2020",0.0375
3,"06/03/2020",0.0575
3,"07/03/2020",0.0475
3,"08/03/2020",0.0175
3,"09/03/2020",-0.0425
3,"10/03/2020",0.0425
3,"11/03/2020",0.0475
3,"12/03/2020",0.0425
3,"13/03/2020",0.07
3,"14/03/2020",0.0775
3,"15/03/2020",0.03
3,"16/03/2020",-0.1275
3,"17/03/2020",0.0225
3,"18/03/2020",-0.015
3,"19/03/2020",-0.0625
3,"20/03/2020",-0.1
3,"21/03/2020",-0.1325
3,"22/03/2020",-0.2525
3,"23/03/2020",-0.2725
3,"24/03/2020",-0.31
3,"25/03/2020",-0.3475
3,"26/03/2020",-0.3675
3,"27/03/2020",-0.3675
3,"28/03/2020",-0.3675
3,"29/03/2020",-0.43
3,"30/03/2020",-0.3825
3,"31/03/2020",-0.3725
3,"01/04/2020",-0.41
3,"02/04/2020",-0.4375
3,"03/04/2020",-0.45
3,"04/04/2020",-0.4625
3,"05/04/2020",-0.5175
3,"06/04/2020",-0.5375
3,"07/04/2020",-0.545
3,"08/04/2020",-0.5625
3,"09/04/2020",-0.605
3,"10/04/2020",-0.66
3,"11/04/2020",-0.63
3,"12/04/2020",-0.61
3,"13/04/2020",-0.59
3,"14/04/2020",-0.5775
3,"15/04/2020",-0.54
3,"16/04/2020",-0.56
3,"17/04/2020",-0.56
3,"18/04/2020",-0.585
3,"19/04/2020",-0.6075
3,"20/04/2020",-0.59
3,"21/04/2020",-0.6
3,"22/04/2020",-0.5975
3,"23/04/2020",-0.6125
3,"24/04/2020",-0.5975
3,"25/04/2020",-0.61
3,"26/04/2020",-0.6325
3,"27/04/2020",-0.6125
3,"28/04/2020",-0.6
3,"29/04/2020",-0.575
3,"30/04/2020",-0.5125
3,"01/05/2020",-0.6
3,"02/05/2020",-0.5625
3,"03/05/2020",-0.5875
3,"04/05/2020",-0.5775
3,"05/05/2020",-0.575
3,"06/05/2020",-0.57
3,"07/05/2020",-0.565
3,"08/05/2020",-0.5525
3,"09/05/2020",-0.5275
3,"10/05/2020",-0.535
3,"11/05/2020",-0.5825
3,"12/05/2020",-0.57
3,"13/05/2020",-0.5625
3,"14/05/2020",-0.55
3,"15/05/2020",-0.51
3,"16/05/2020",-0.505
3,"17/05/2020",-0.5375
3,"18/05/2020",-0.5275
3,"19/05/2020",-0.53
3,"20/05/2020",-0.53
3,"21/05/2020",-0.5375
3,"22/05/2020",-0.5225
3,"23/05/2020",-0.505
3,"24/05/2020",-0.53
3,"25/05/2020",-0.53
3,"26/05/2020",-0.5275
3,"27/05/2020",-0.5225
3,"28/05/2020",-0.5225
3,"29/05/2020",-0.4725
3,"30/05/2020",-0.4475
3,"31/05/2020",-0.465
3,"01/06/2020",-0.44
3,"02/06/2020",-0.4525
3,"03/06/2020",-0.4425
3,"04/06/2020",-0.46
3,"05/06/2020",-0.4425
3,"06/06/2020",-0.435
3,"07/06/2020",-0.4775
4,"15/02/2020",0.045
4,"16/02/2020",0.06
4,"17/02/2020",0.0675
4,"18/02/2020",0.0225
4,"19/02/2020",0.04
4,"20/02/2020",0.045
4,"21/02/2020",0.0525
4,"22/02/2020",0.0775
4,"23/02/2020",0.08
4,"24/02/2020",-0.0375
4,"25/02/2020",-0.0875
4,"26/02/2020",-0.085
4,"27/02/2020",-0.0125
4,"28/02/2020",0.0175
4,"29/02/2020",0.04
4,"01/03/2020",0.05
4,"02/03/2020",0.075
4,"03/03/2020",0.0275
4,"04/03/2020",0.02
4,"05/03/2020",0.02
4,"06/03/2020",0.0125
4,"07/03/2020",-0.0125
4,"08/03/2020",-0.01
4,"09/03/2020",-0.075
4,"10/03/2020",0.0075
4,"11/03/2020",-0.0175
4,"12/03/2020",0.005
4,"13/03/2020",0.0775
4,"14/03/2020",0.075
4,"15/03/2020",-0.0075
4,"16/03/2020",-0.1375
4,"17/03/2020",0.0025
4,"18/03/2020",-0.0725
4,"19/03/2020",-0.0775
4,"20/03/2020",-0.135
4,"21/03/2020",-0.18
4,"22/03/2020",-0.2675
4,"23/03/2020",-0.2975
4,"24/03/2020",-0.335
4,"25/03/2020",-0.3775
4,"26/03/2020",-0.385
4,"27/03/2020",-0.3725
4,"28/03/2020",-0.3275
4,"29/03/2020",-0.37
4,"30/03/2020",-0.3725
4,"31/03/2020",-0.3725
4,"01/04/2020",-0.3875
4,"02/04/2020",-0.4125
4,"03/04/2020",-0.4275
4,"04/04/2020",-0.3725
4,"05/04/2020",-0.4275
4,"06/04/2020",-0.445
4,"07/04/2020",-0.465
4,"08/04/2020",-0.46
4,"09/04/2020",-0.5075
4,"10/04/2020",-0.6075
4,"11/04/2020",-0.505
4,"12/04/2020",-0.485
4,"13/04/2020",-0.465
4,"14/04/2020",-0.4825
4,"15/04/2020",-0.445
4,"16/04/2020",-0.45
4,"17/04/2020",-0.475
4,"18/04/2020",-0.445
4,"19/04/2020",-0.4725
4,"20/04/2020",-0.49
4,"21/04/2020",-0.5225
4,"22/04/2020",-0.5325
4,"23/04/2020",-0.535
4,"24/04/2020",-0.54
4,"25/04/2020",-0.49
4,"26/04/2020",-0.5
4,"27/04/2020",-0.5175
4,"28/04/2020",-0.5225
4,"29/04/2020",-0.49
4,"30/04/2020",-0.4225
4,"01/05/2020",-0.54
4,"02/05/2020",-0.455
4,"03/05/2020",-0.4775
4,"04/05/2020",-0.48
4,"05/05/2020",-0.515
4,"06/05/2020",-0.5075
4,"07/05/2020",-0.51
4,"08/05/2020",-0.4975
4,"09/05/2020",-0.4275
4,"10/05/2020",-0.405
4,"11/05/2020",-0.4975
4,"12/05/2020",-0.5
4,"13/05/2020",-0.4875
4,"14/05/2020",-0.48
4,"15/05/2020",-0.445
4,"16/05/2020",-0.395
4,"17/05/2020",-0.4225
4,"18/05/2020",-0.4475
4,"19/05/2020",-0.47
4,"20/05/2020",-0.4775
4,"21/05/2020",-0.48
4,"22/05/2020",-0.49
4,"23/05/2020",-0.4125
4,"24/05/2020",-0.4375
4,"25/05/2020",-0.4675
4,"26/05/2020",-0.4825
4,"27/05/2020",-0.4775
4,"28/05/2020",-0.4775
4,"29/05/2020",-0.45
4,"30/05/2020",-0.38
4,"31/05/2020",-0.42
4,"01/06/2020",-0.475
4,"02/06/2020",-0.5675
4,"03/06/2020",-0.635
4,"04/06/2020",-0.5
4,"05/06/2020",-0.4925
4,"06/06/2020",-0.39
4,"07/06/2020",-0.39
7,"15/02/2020",0.02
7,"16/02/2020",0.045
7,"17/02/2020",0.0375
7,"18/02/2020",0.01
7,"19/02/2020",0.01
7,"20/02/2020",0.01
7,"21/02/2020",-0.0125
7,"22/02/2020",-0.04
7,"23/02/2020",-0.01
7,"24/02/2020",-0.01
7,"25/02/2020",-0.01
7,"26/02/2020",-0.0175
7,"27/02/2020",0.005
7,"28/02/2020",0.045
7,"29/02/2020",0.025
7,"01/03/2020",0.025
7,"02/03/2020",0.0325
7,"03/03/2020",-0.0075
7,"04/03/2020",0
7,"05/03/2020",0.005
7,"06/03/2020",-0.0025
7,"07/03/2020",-0.025
7,"08/03/2020",-0.03
7,"09/03/2020",-0.0725
7,"10/03/2020",-0.0075
7,"11/03/2020",-0.0125
7,"12/03/2020",0.0175
7,"13/03/2020",0.0525
7,"14/03/2020",0.04
7,"15/03/2020",-0.0175
7,"16/03/2020",-0.09
7,"17/03/2020",0.03
7,"18/03/2020",-0.005
7,"19/03/2020",-0.02
7,"20/03/2020",-0.0775
7,"21/03/2020",-0.135
7,"22/03/2020",-0.21
7,"23/03/2020",-0.2325
7,"24/03/2020",-0.265
7,"25/03/2020",-0.285
7,"26/03/2020",-0.3075
7,"27/03/2020",-0.325
7,"28/03/2020",-0.27
7,"29/03/2020",-0.3325
7,"30/03/2020",-0.305
7,"31/03/2020",-0.33
7,"01/04/2020",-0.3325
7,"02/04/2020",-0.375
7,"03/04/2020",-0.3825
7,"04/04/2020",-0.345
7,"05/04/2020",-0.3975
7,"06/04/2020",-0.4025
7,"07/04/2020",-0.41
7,"08/04/2020",-0.4075
7,"09/04/2020",-0.48
7,"10/04/2020",-0.6075
7,"11/04/2020",-0.525
7,"12/04/2020",-0.48
7,"13/04/2020",-0.4225
7,"14/04/2020",-0.4275
7,"15/04/2020",-0.4
7,"16/04/2020",-0.415
7,"17/04/2020",-0.44
7,"18/04/2020",-0.4225
7,"19/04/2020",-0.455
7,"20/04/2020",-0.4375
7,"21/04/2020",-0.4475
7,"22/04/2020",-0.455
7,"23/04/2020",-0.46
7,"24/04/2020",-0.4725
7,"25/04/2020",-0.4325
7,"26/04/2020",-0.48
7,"27/04/2020",-0.4575
7,"28/04/2020",-0.4525
7,"29/04/2020",-0.4225
7,"30/04/2020",-0.355
7,"01/05/2020",-0.4925
7,"02/05/2020",-0.405
7,"03/05/2020",-0.4525
7,"04/05/2020",-0.4225
7,"05/05/2020",-0.4575
7,"06/05/2020",-0.42
7,"07/05/2020",-0.4375
7,"08/05/2020",-0.4325
7,"09/05/2020",-0.365
7,"10/05/2020",-0.395
7,"11/05/2020",-0.4375
7,"12/05/2020",-0.43
7,"13/05/2020",-0.4275
7,"14/05/2020",-0.4
7,"15/05/2020",-0.39
7,"16/05/2020",-0.35
7,"17/05/2020",-0.415
7,"18/05/2020",-0.3875
7,"19/05/2020",-0.41
7,"20/05/2020",-0.4025
7,"21/05/2020",-0.42
7,"22/05/2020",-0.435
7,"23/05/2020",-0.39
7,"24/05/2020",-0.435
7,"25/05/2020",-0.415
7,"26/05/2020",-0.435
7,"27/05/2020",-0.4425
7,"28/05/2020",-0.435
7,"29/05/2020",-0.4125
7,"30/05/2020",-0.37
7,"31/05/2020",-0.43
7,"01/06/2020",-0.425
7,"02/06/2020",-0.4225
7,"03/06/2020",-0.53
7,"04/06/2020",-0.45
7,"05/06/2020",-0.45
7,"06/06/2020",-0.375
7,"07/06/2020",-0.4075
8,"15/02/2020",0.0375
8,"16/02/2020",0.045
8,"17/02/2020",0.07
8,"18/02/2020",0.045
8,"19/02/2020",0.04
8,"20/02/2020",0.0375
8,"21/02/2020",0.02
8,"22/02/2020",0.0275
8,"23/02/2020",0.0025
8,"24/02/2020",0.0375
8,"25/02/2020",0.025
8,"26/02/2020",0.0275
8,"27/02/2020",0.05
8,"28/02/2020",0.0775
8,"29/02/2020",0.0625
8,"01/03/2020",0.0475
8,"02/03/2020",0.06
8,"03/03/2020",0.0175
8,"04/03/2020",0.05
8,"05/03/2020",0.07
8,"06/03/2020",0.0575
8,"07/03/2020",0.035
8,"08/03/2020",0
8,"09/03/2020",-0.06
8,"10/03/2020",0.07
8,"11/03/2020",0.0625
8,"12/03/2020",0.0775
8,"13/03/2020",0.085
8,"14/03/2020",0.065
8,"15/03/2020",0.0125
8,"16/03/2020",-0.1325
8,"17/03/2020",0.0325
8,"18/03/2020",-0.05
8,"19/03/2020",-0.0675
8,"20/03/2020",-0.0975
8,"21/03/2020",-0.155
8,"22/03/2020",-0.2225
8,"23/03/2020",-0.2375
8,"24/03/2020",-0.2475
8,"25/03/2020",-0.31
8,"26/03/2020",-0.34
8,"27/03/2020",-0.36
8,"28/03/2020",-0.33
8,"29/03/2020",-0.395
8,"30/03/2020",-0.3575
8,"31/03/2020",-0.345
8,"01/04/2020",-0.355
8,"02/04/2020",-0.38
8,"03/04/2020",-0.39
8,"04/04/2020",-0.3825
8,"05/04/2020",-0.4375
8,"06/04/2020",-0.4375
8,"07/04/2020",-0.43
8,"08/04/2020",-0.41
8,"09/04/2020",-0.475
8,"10/04/2020",-0.5975
8,"11/04/2020",-0.53
8,"12/04/2020",-0.5175
8,"13/04/2020",-0.46
8,"14/04/2020",-0.445
8,"15/04/2020",-0.425
8,"16/04/2020",-0.43
8,"17/04/2020",-0.44
8,"18/04/2020",-0.4375
8,"19/04/2020",-0.4675
8,"20/04/2020",-0.46
8,"21/04/2020",-0.4825
8,"22/04/2020",-0.485
8,"23/04/2020",-0.49
8,"24/04/2020",-0.4825
8,"25/04/2020",-0.4525
8,"26/04/2020",-0.4875
8,"27/04/2020",-0.485
8,"28/04/2020",-0.475
8,"29/04/2020",-0.45
8,"30/04/2020",-0.3775
8,"01/05/2020",-0.515
8,"02/05/2020",-0.4425
8,"03/05/2020",-0.4675
8,"04/05/2020",-0.4425
8,"05/05/2020",-0.4475
8,"06/05/2020",-0.44
8,"07/05/2020",-0.435
8,"08/05/2020",-0.425
8,"09/05/2020",-0.385
8,"10/05/2020",-0.3925
8,"11/05/2020",-0.455
8,"12/05/2020",-0.4425
8,"13/05/2020",-0.4375
8,"14/05/2020",-0.435
8,"15/05/2020",-0.4
8,"16/05/2020",-0.3775
8,"17/05/2020",-0.4125
8,"18/05/2020",-0.4075
8,"19/05/2020",-0.41
8,"20/05/2020",-0.4075
8,"21/05/2020",-0.4075
8,"22/05/2020",-0.395
8,"23/05/2020",-0.3575
8,"24/05/2020",-0.3925
8,"25/05/2020",-0.3925
8,"26/05/2020",-0.4025
8,"27/05/2020",-0.405
8,"28/05/2020",-0.39
8,"29/05/2020",-0.3525
8,"30/05/2020",-0.305
8,"31/05/2020",-0.3375
8,"01/06/2020",-0.34
8,"02/06/2020",-0.355
8,"03/06/2020",-0.3525
8,"04/06/2020",-0.355
8,"05/06/2020",-0.3425
8,"06/06/2020",-0.295
8,"07/06/2020",-0.3225
5,"15/02/2020",0.05
5,"16/02/2020",0.0625
5,"17/02/2020",0.055
5,"18/02/2020",0.0075
5,"19/02/2020",0.0025
5,"20/02/2020",-0.025
5,"21/02/2020",-0.0125
5,"22/02/2020",0.02
5,"23/02/2020",0.0125
5,"24/02/2020",0.0175
5,"25/02/2020",0.0075
5,"26/02/2020",-0.0025
5,"27/02/2020",0.015
5,"28/02/2020",0.0875
5,"29/02/2020",0.0975
5,"01/03/2020",0.0925
5,"02/03/2020",0.065
5,"03/03/2020",0.0275
5,"04/03/2020",0.035
5,"05/03/2020",0.0225
5,"06/03/2020",0.0425
5,"07/03/2020",0.0375
5,"08/03/2020",0.0275
5,"09/03/2020",-0.09
5,"10/03/2020",0.035
5,"11/03/2020",0.0375
5,"12/03/2020",0.0525
5,"13/03/2020",0.0825
5,"14/03/2020",0.0975
5,"15/03/2020",0.0075
5,"16/03/2020",-0.1475
5,"17/03/2020",0.01
5,"18/03/2020",0.0025
5,"19/03/2020",-0.105
5,"20/03/2020",-0.17
5,"21/03/2020",-0.185
5,"22/03/2020",-0.2775
5,"23/03/2020",-0.2875
5,"24/03/2020",-0.3175
5,"25/03/2020",-0.3325
5,"26/03/2020",-0.35
5,"27/03/2020",-0.325
5,"28/03/2020",-0.2825
5,"29/03/2020",-0.3575
5,"30/03/2020",-0.3275
5,"31/03/2020",-0.3225
5,"01/04/2020",-0.32
5,"02/04/2020",-0.365
5,"03/04/2020",-0.3775
5,"04/04/2020",-0.3525
5,"05/04/2020",-0.425
5,"06/04/2020",-0.425
5,"07/04/2020",-0.4225
5,"08/04/2020",-0.405
5,"09/04/2020",-0.4875
5,"10/04/2020",-0.58
5,"11/04/2020",-0.5175
5,"12/04/2020",-0.49
5,"13/04/2020",-0.4475
5,"14/04/2020",-0.44
5,"15/04/2020",-0.4175
5,"16/04/2020",-0.4275
5,"17/04/2020",-0.42
5,"18/04/2020",-0.3975
5,"19/04/2020",-0.4475
5,"20/04/2020",-0.4475
5,"21/04/2020",-0.47
5,"22/04/2020",-0.4675
5,"23/04/2020",-0.47
5,"24/04/2020",-0.45
5,"25/04/2020",-0.42
5,"26/04/2020",-0.48
5,"27/04/2020",-0.475
5,"28/04/2020",-0.4675
5,"29/04/2020",-0.4275
5,"30/04/2020",-0.3375
5,"01/05/2020",-0.5
5,"02/05/2020",-0.41
5,"03/05/2020",-0.4475
5,"04/05/2020",-0.4375
5,"05/05/2020",-0.4425
5,"06/05/2020",-0.4175
5,"07/05/2020",-0.415
5,"08/05/2020",-0.3875
5,"09/05/2020",-0.295
5,"10/05/2020",-0.3375
5,"11/05/2020",-0.425
5,"12/05/2020",-0.41
5,"13/05/2020",-0.4
5,"14/05/2020",-0.39
5,"15/05/2020",-0.3425
5,"16/05/2020",-0.3
5,"17/05/2020",-0.3575
5,"18/05/2020",-0.355
5,"19/05/2020",-0.37
5,"20/05/2020",-0.3575
5,"21/05/2020",-0.37
5,"22/05/2020",-0.345
5,"23/05/2020",-0.29
5,"24/05/2020",-0.3375
5,"25/05/2020",-0.35
5,"26/05/2020",-0.3625
5,"27/05/2020",-0.3425
5,"28/05/2020",-0.3525
5,"29/05/2020",-0.2975
5,"30/05/2020",-0.2275
5,"31/05/2020",-0.2725
5,"01/06/2020",-0.2825
5,"02/06/2020",-0.3075
5,"03/06/2020",-0.305
5,"04/06/2020",-0.3175
5,"05/06/2020",-0.29
5,"06/06/2020",-0.2325
5,"07/06/2020",-0.285
6,"15/02/2020",0.0225
6,"16/02/2020",0.0225
6,"17/02/2020",0.02
6,"18/02/2020",0.0075
6,"19/02/2020",0.0025
6,"20/02/2020",0
6,"21/02/2020",-0.005
6,"22/02/2020",-0.04
6,"23/02/2020",-0.035
6,"24/02/2020",-0.0125
6,"25/02/2020",-0.0075
6,"26/02/2020",-0.01
6,"27/02/2020",0.01
6,"28/02/2020",0.0275
6,"29/02/2020",-0.0025
6,"01/03/2020",0.01
6,"02/03/2020",0.0025
6,"03/03/2020",0.0075
6,"04/03/2020",0.0075
6,"05/03/2020",0
6,"06/03/2020",-0.0175
6,"07/03/2020",-0.0375
6,"08/03/2020",-0.0275
6,"09/03/2020",-0.1225
6,"10/03/2020",-0.01
6,"11/03/2020",-0.015
6,"12/03/2020",-0.0075
6,"13/03/2020",0.0125
6,"14/03/2020",0.03
6,"15/03/2020",-0.005
6,"16/03/2020",-0.1275
6,"17/03/2020",-0.0825
6,"18/03/2020",-0.095
6,"19/03/2020",-0.215
6,"20/03/2020",-0.2875
6,"21/03/2020",-0.285
6,"22/03/2020",-0.3475
6,"23/03/2020",-0.335
6,"24/03/2020",-0.3475
6,"25/03/2020",-0.3425
6,"26/03/2020",-0.3575
6,"27/03/2020",-0.3675
6,"28/03/2020",-0.315
6,"29/03/2020",-0.36
6,"30/03/2020",-0.3275
6,"31/03/2020",-0.325
6,"01/04/2020",-0.3125
6,"02/04/2020",-0.345
6,"03/04/2020",-0.3675
6,"04/04/2020",-0.34
6,"05/04/2020",-0.4025
6,"06/04/2020",-0.3725
6,"07/04/2020",-0.3775
6,"08/04/2020",-0.37
6,"09/04/2020",-0.4675
6,"10/04/2020",-0.5925
6,"11/04/2020",-0.5075
6,"12/04/2020",-0.4575
6,"13/04/2020",-0.3925
6,"14/04/2020",-0.395
6,"15/04/2020",-0.35
6,"16/04/2020",-0.3625
6,"17/04/2020",-0.3925
6,"18/04/2020",-0.3825
6,"19/04/2020",-0.4275
6,"20/04/2020",-0.4025
6,"21/04/2020",-0.43
6,"22/04/2020",-0.425
6,"23/04/2020",-0.43
6,"24/04/2020",-0.44
6,"25/04/2020",-0.4075
6,"26/04/2020",-0.4425
6,"27/04/2020",-0.4125
6,"28/04/2020",-0.42
6,"29/04/2020",-0.3975
6,"30/04/2020",-0.35
6,"01/05/2020",-0.49
6,"02/05/2020",-0.375
6,"03/05/2020",-0.41
6,"04/05/2020",-0.3775
6,"05/05/2020",-0.3925
6,"06/05/2020",-0.3625
6,"07/05/2020",-0.3675
6,"08/05/2020",-0.375
6,"09/05/2020",-0.3025
6,"10/05/2020",-0.31
6,"11/05/2020",-0.3825
6,"12/05/2020",-0.38
6,"13/05/2020",-0.3675
6,"14/05/2020",-0.38
6,"15/05/2020",-0.3675
6,"16/05/2020",-0.34
6,"17/05/2020",-0.3525
6,"18/05/2020",-0.3375
6,"19/05/2020",-0.36
6,"20/05/2020",-0.3425
6,"21/05/2020",-0.36
6,"22/05/2020",-0.37
6,"23/05/2020",-0.3275
6,"24/05/2020",-0.36
6,"25/05/2020",-0.355
6,"26/05/2020",-0.36
6,"27/05/2020",-0.3475
6,"28/05/2020",-0.34
6,"29/05/2020",-0.34
6,"30/05/2020",-0.2825
6,"31/05/2020",-0.305
6,"01/06/2020",-0.2925
6,"02/06/2020",-0.315
6,"03/06/2020",-0.305
6,"04/06/2020",-0.32
6,"05/06/2020",-0.3325
6,"06/06/2020",-0.2725
6,"07/06/2020",-0.2925
10,"15/02/2020",0.005
