"Date_new","Confirmed.Cases","C.Deaths","Infection.Rate","Death.Rate","R0","type","Region","W"
2020-05-12,692.054681722528,37.1787682072033,30.8731317044385,1.99986978170725,0,"real",19,500
2020-05-13,723.82646115913,39.2737568086287,31.7717296573658,2.09500608897932,0,"real",19,500
2020-05-14,756.78911710709,41.4451681497763,32.9625962984088,2.17143220238709,0,"real",19,500
2020-05-15,791.166653136823,43.6615546374745,34.3774685170841,2.21641003422339,0,"real",19,500
2020-05-16,827.165181647672,45.8870169970538,35.9984572399239,2.22548717475713,0,"real",19,500
2020-05-17,864.839148507612,48.1290404074701,37.6738987082901,2.24204711391503,0,"real",19,500
2020-05-18,903.881347768143,50.4162398777088,39.0421445911448,2.2872184698762,0,"real",19,500
2020-05-19,943.936181995685,52.7759400126803,40.0548075703676,2.35970938968064,0,"real",19,500
2020-05-20,984.36924027898,55.2113030185182,40.4330788819264,2.43535583566954,0,"real",19,500
2020-05-21,1024.67674988681,57.7377317012292,40.3076016860856,2.52639667628733,0,"real",19,500
2020-05-22,1064.67124568517,60.3785158366349,39.9946883542903,2.64071722162172,0,"real",19,500
2020-05-23,1104.27849504119,63.1595678835444,39.6075752411246,2.78093881499755,0,"real",19,500
2020-05-24,1143.66755286515,66.1230151424006,39.3895518176299,2.96327562752343,0,"real",19,500
2020-05-25,1183.16468911689,69.2993892348111,39.4978318024361,3.17613244215803,0,"real",19,500
2020-05-26,1223.14949822764,72.6779916309591,39.9857333959972,3.37828128558476,0,"real",19,500
2020-05-27,1263.84992773744,76.2351299086802,40.7015964807424,3.55673286006544,0,"real",19,500
2020-05-28,1305.48243020405,79.9403317294998,41.6339036051413,3.70471505500607,0,"real",19,500
2020-05-29,1348.50495890786,83.7707734558571,43.0241213528557,3.82988843121198,0,"real",19,500
2020-05-30,1393.56064282723,87.7242281328959,45.0573772714963,3.95286639893843,0,"real",19,500
2020-05-31,1441.41756135143,91.8207610712016,47.858557695145,4.09596348412858,0,"real",19,500
2020-06-01,1492.62818744145,96.0831953000306,51.2119751851691,4.2619655487362,0,"real",19,500
2020-06-02,1547.52081844478,100.516146237927,54.893356725984,4.43269881987377,0,"real",19,500
2020-06-03,1606.3074698345,105.143397350436,58.7863095501537,4.6273698691664,0,"real",19,500
2020-06-04,1668.95494889922,109.993570640721,62.6455073229823,4.85085828004048,0,"real",19,500
2020-06-05,1735.62698822922,115.093854138443,66.6677606142723,5.10176993723073,0,"real",19,500
2020-06-06,1807.0477709258,120.441500166855,71.4134249205966,5.35020214267145,0,"real",19,500
2020-06-07,1884.16521020794,125.992822507826,77.106178132385,5.55523449892466,0,"real",19,500
2020-06-08,1967.83674158537,131.779719941557,83.6555638908617,5.79244458712563,0,"real",19,500
2020-06-09,2059.22814846576,137.894163023169,91.3700640559268,6.12185764342043,0,"real",19,500
2020-06-10,2159.49684684092,144.430325108369,100.241604848572,6.54557445808384,0,"real",19,500
2020-06-11,2269.30797121797,151.433437922631,109.778411849229,7.01447724495643,0,"real",19,500
2020-06-12,2388.94168763566,158.884429940347,119.596294589846,7.46399247329797,0,"real",19,500
2020-06-13,2518.20508242055,166.789895256681,129.223278483875,7.91940183991861,0,"real",19,500
